127.0.0.1 - - [29/Sep/2016:21:56:06 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [29/Sep/2016:21:56:17 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [29/Sep/2016:21:56:27 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [29/Sep/2016:21:56:27 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:04 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:04 -0500] "GET /js/jquery.min.js HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:04 -0500] "GET /js/script.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:38 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:38 -0500] "GET /CRMSocia/js/script.js HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [29/Sep/2016:22:08:38 -0500] "GET /CRMSocia/js/jquery.min.js HTTP/1.1" 200 97163
